Date, Open, High, Low, Close, Volume
12/24/20, 33.85, 34.10, 33.85, 34.00, 3088500
12/23/20, 34.00, 34.10, 33.50, 34.00, 3049800
12/22/20, 33.50, 34.05, 33.20, 33.85, 4497100
12/21/20, 33.00, 33.80, 33.00, 33.30, 1363900
12/18/20, 33.00, 33.95, 32.75, 33.55, 4546800
12/17/20, 32.80, 33.50, 32.50, 32.90, 5216400
12/16/20, 32.75, 33.00, 32.50, 32.80, 6442300
12/15/20, 33.00, 33.25, 32.75, 33.05, 6861000
12/14/20, 32.80, 33.50, 32.70, 33.15, 2534600
12/11/20, 32.80, 33.00, 32.10, 32.95, 4205400
12/10/20, 32.60, 32.95, 31.80, 32.65, 23692900
12/09/20, 32.80, 33.00, 32.55, 32.95, 9002200
12/08/20, 33.05, 33.10, 32.70, 33.00, 4133600
12/07/20, 33.00, 33.50, 32.50, 33.00, 1243900
12/04/20, 33.10, 33.75, 32.35, 33.50, 24609699
12/03/20, 32.95, 33.10, 32.50, 33.00, 22937000
12/02/20, 32.50, 33.00, 32.30, 32.95, 13888800
12/01/20, 32.70, 33.00, 32.05, 32.30, 10666600
11/30/20, 32.00, 33.45, 32.00, 32.70, 23703801
11/27/20, 32.20, 32.20, 31.75, 31.90, 3907100
11/26/20, 32.00, 32.15, 31.75, 32.00, 2954800
11/25/20, 32.00, 32.30, 31.75, 32.00, 5307500
11/24/20, 32.00, 32.10, 31.50, 31.70, 3455300
11/23/20, 31.95, 32.00, 31.50, 32.00, 2236900
11/20/20, 31.50, 32.20, 31.00, 32.00, 19617600
11/19/20, 32.00, 32.00, 31.30, 31.45, 1060600
11/18/20, 32.00, 32.00, 31.70, 31.95, 3010300
11/17/20, 32.00, 32.10, 31.50, 32.05, 4834700
11/16/20, 31.70, 32.35, 31.50, 32.10, 2511300
11/13/20, 30.85, 32.00, 30.85, 31.80, 3265800
11/12/20, 32.00, 32.50, 31.50, 31.70, 10734800
11/11/20, 30.50, 32.50, 30.30, 31.80, 8444700
11/10/20, 31.00, 31.35, 30.80, 30.95, 6330700
11/09/20, 31.25, 31.30, 30.00, 30.75, 2275300
11/06/20, 31.00, 31.50, 31.00, 31.30, 3200800
11/05/20, 31.10, 31.30, 31.00, 31.25, 5517900
11/04/20, 31.25, 31.25, 30.30, 31.15, 9494900
11/03/20, 30.85, 31.70, 30.70, 31.25, 15696300
11/02/20, 31.20, 31.60, 31.00, 31.25, 7894900
10/30/20, 30.30, 31.15, 30.10, 30.85, 6717400
10/29/20, 30.50, 30.80, 30.10, 30.50, 4669400
10/28/20, 30.80, 30.80, 30.50, 30.60, 5808600
10/27/20, 30.55, 30.80, 30.50, 30.60, 5362700
10/26/20, 30.50, 30.95, 30.10, 30.50, 666900
10/23/20, 30.65, 31.20, 30.50, 30.95, 13401700
10/22/20, 30.25, 31.00, 30.25, 30.65, 1423800
10/21/20, 30.10, 30.55, 30.10, 30.25, 6682400
10/19/20, 30.10, 30.20, 30.05, 30.10, 2050100
10/16/20, 30.00, 30.20, 30.00, 30.10, 2402400
10/15/20, 30.00, 30.10, 30.00, 30.05, 102800
10/14/20, 30.15, 30.45, 30.00, 30.10, 12379000
10/13/20, 30.00, 30.50, 30.00, 30.15, 3837600
10/12/20, 30.05, 30.10, 30.00, 30.05, 3140000
10/09/20, 30.05, 30.20, 30.00, 30.10, 5908500
10/08/20, 30.15, 30.50, 30.00, 30.05, 6302700
10/07/20, 30.00, 30.60, 30.00, 30.50, 3276800
10/06/20, 30.00, 30.15, 29.90, 29.95, 5086100
10/05/20, 29.90, 30.05, 29.70, 30.00, 1100500
10/02/20, 30.00, 30.15, 29.80, 30.00, 4287500
10/01/20, 30.00, 30.05, 29.70, 29.80, 1949700
09/30/20, 29.95, 30.25, 29.70, 29.70, 16260700
09/29/20, 29.55, 30.00, 29.50, 29.80, 1216000
09/28/20, 30.00, 30.05, 29.50, 29.80, 5393200
09/25/20, 30.00, 30.05, 29.50, 30.05, 12093900
09/24/20, 29.10, 30.10, 29.10, 30.00, 10557800
09/23/20, 30.05, 30.40, 29.35, 30.00, 13820000
09/22/20, 29.90, 30.40, 29.50, 30.05, 9994800
09/21/20, 30.00, 30.00, 29.30, 29.90, 1425100
09/18/20, 29.20, 30.00, 29.00, 30.00, 5894100
09/17/20, 30.00, 30.15, 29.50, 30.00, 115836305
09/16/20, 30.00, 30.50, 29.80, 30.10, 13625100
09/15/20, 29.90, 30.25, 29.90, 30.15, 5077200
09/14/20, 30.00, 30.00, 29.30, 29.95, 378400
09/11/20, 29.30, 30.15, 29.30, 30.05, 6191200
09/10/20, 30.00, 30.00, 29.20, 29.95, 28936699
09/09/20, 29.05, 29.50, 28.55, 29.05, 1831200
09/08/20, 29.00, 29.20, 28.75, 29.00, 1652300
09/07/20, 29.20, 29.50, 29.05, 29.05, 12957200
09/04/20, 30.00, 30.30, 29.30, 29.60, 3278800
09/03/20, 30.00, 30.10, 29.50, 30.05, 3234000
09/02/20, 29.90, 30.05, 29.50, 30.00, 25815000
09/01/20, 29.95, 29.95, 29.50, 29.90, 2291000
08/31/20, 29.75, 30.00, 29.50, 29.90, 25963400
08/28/20, 29.60, 30.10, 29.30, 29.85, 11730700
08/27/20, 29.00, 29.95, 29.00, 29.45, 10409900
08/26/20, 28.75, 29.25, 28.55, 29.00, 7522200
08/25/20, 28.00, 28.95, 28.00, 28.65, 17696199
08/24/20, 28.40, 28.45, 28.00, 28.20, 4173300
08/21/20, 28.10, 28.40, 28.05, 28.20, 11654400
08/20/20, 28.20, 28.20, 28.00, 28.05, 1874100
08/19/20, 28.00, 28.20, 27.80, 28.00, 3095400
08/18/20, 28.00, 28.50, 27.85, 28.00, 5918400
08/17/20, 28.00, 28.50, 28.00, 28.40, 2813300
08/14/20, 27.55, 28.20, 27.50, 27.70, 5272400
08/13/20, 28.00, 28.20, 27.55, 27.85, 502400
08/12/20, 27.50, 28.00, 27.30, 27.95, 4507100
08/11/20, 27.50, 28.00, 27.00, 27.50, 2276700
08/10/20, 27.80, 27.80, 27.05, 27.50, 16156200
08/07/20, 27.50, 27.90, 27.50, 27.70, 2152000
08/06/20, 26.40, 28.00, 26.40, 27.40, 2125400
08/05/20, 26.50, 26.50, 25.95, 26.15, 22651600
08/04/20, 26.90, 27.00, 26.10, 26.40, 23895400
08/03/20, 27.50, 27.50, 26.80, 26.85, 30994801
07/30/20, 28.35, 28.60, 28.00, 28.15, 11145000
07/29/20, 28.30, 28.95, 28.20, 28.30, 2254600
07/28/20, 29.00, 29.00, 28.00, 28.30, 3034900
07/27/20, 28.20, 29.95, 28.20, 29.35, 6186700
07/24/20, 27.85, 28.80, 27.85, 28.10, 2485900
07/23/20, 27.00, 28.40, 26.90, 27.50, 7197400
07/22/20, 26.95, 27.35, 26.50, 26.85, 21409801
07/21/20, 27.20, 27.20, 26.45, 26.70, 31735500
07/20/20, 27.00, 27.30, 26.80, 27.00, 6843000
